station_key,date_min,date_max,row_count,pm25_coverage,overall_missingness,tier
delhianandviharairquality,2026-03-24,2026-04-01,9,1.0,0.593,Tier-1
truckeefirestationnevadacaliforniaairquality,2014-01-01,2026-03-24,4111,0.998,0.833,Tier-1
londonairquality,2013-12-31,2026-03-25,4460,0.997,0.066,Tier-1
parisairquality,2013-12-31,2026-03-25,4333,0.997,0.261,Tier-1
frankfurtschwanheimairquality,2018-09-10,2026-03-25,2728,0.995,0.444,Tier-1
beograddragisamisovicairquality,2023-02-04,2026-03-25,1132,0.994,0.354,Tier-1
danmarksplassbergennorwayairquality,2013-12-31,2026-03-25,4403,0.994,0.475,Tier-1
madridairquality,2013-12-31,2026-02-09,4296,0.994,0.204,Tier-1
northhollywoodlosangelescaliforniaairquality,2020-08-22,2026-03-25,2039,0.992,0.502,Tier-1
dunpomyeonchungnamairquality,2018-05-13,2026-03-26,2831,0.991,0.018,Tier-1
birminghama4540roadsideairquality,2017-05-31,2026-03-25,2975,0.988,0.279,Tier-1
salfordecclesairquality,2013-12-31,2026-03-25,4412,0.984,0.354,Tier-1
alejakrasinskiegokrakowmaopolskaairquality,2013-12-31,2026-03-25,4312,0.982,0.214,Tier-1
sternschanzehamburgairquality,2014-08-18,2026-03-25,4219,0.98,0.224,Tier-1
marseillerabataupacaairquality,2014-11-15,2026-03-25,4030,0.98,0.505,Tier-1
aristotelousairquality,2019-11-05,2026-03-25,2307,0.973,0.374,Tier-1
kurlamumbaiairquality,2019-12-02,2026-03-25,2249,0.967,0.082,Tier-1
marszakowskawarszawamazowieckieairquality,2014-01-01,2026-03-25,4353,0.966,0.363,Tier-1
nisegwalpaharigurugramairquality,2018-11-29,2026-03-25,2248,0.964,0.194,Tier-1
alexandranaqicityofjohannesburgairquality,2019-12-09,2026-03-25,1502,0.951,0.567,Tier-1
mercedmexicoairquality,2016-10-27,2026-03-25,2929,0.939,0.054,Tier-1
kirkeveienoslonorwayairquality,2013-12-31,2026-03-25,4344,0.937,0.475,Tier-1
shhyeairquality,2022-09-01,2026-03-25,1195,0.933,0.099,Tier-1
lyoncentreairquality,2013-12-31,2026-03-25,4399,0.931,0.353,Tier-1
rotterdamairquality,2014-01-29,2026-03-25,4228,0.926,0.347,Tier-1
beijingairquality,2025-04-05,2026-04-01,10,0.9,0.617,Tier-1
amsterdamairquality,2013-12-31,2026-03-25,4253,0.897,0.183,Tier-1
seonghwangdongcheonansichungnamairquality,2013-12-31,2026-03-26,4258,0.841,0.045,Tier-1
campodemartelimaairquality,2013-12-31,2026-03-25,3318,0.802,0.305,Tier-1
avdfranciavalenciavalenciaairquality,2014-10-02,2026-02-13,4014,0.8,0.268,Tier-1
itodelhiairquality,2014-07-01,2026-03-25,1237,0.731,0.446,Tier-1
parquedpedroiisaopauloairquality,2013-12-31,2026-03-24,4331,0.713,0.228,Tier-1
bursakestelairquality,2015-04-28,2026-03-25,3313,0.669,0.183,Tier-2
brnoarboretumjihomoravskyairquality,2013-12-31,2026-03-25,4329,0.631,0.459,Tier-2
bursaairquality,2013-12-31,2026-03-25,4258,0.575,0.339,Tier-2
antalyaairquality,2013-12-31,2026-03-25,4262,0.482,0.416,Tier-2
izmirguzelyaliairquality,2013-12-31,2026-03-24,3915,0.361,0.315,Tier-3
barcelonapalaureialcatalunyaairquality,2014-09-24,2026-03-25,4143,0.355,0.423,Tier-3
izmirkarsiyakaairquality,2013-12-31,2026-03-24,3286,0.278,0.476,Tier-3
munichairquality,2014-08-13,2026-03-25,4140,0.258,0.408,Tier-3
debrecenkalotaszegterdebrecenairquality,2013-12-31,2026-03-25,3948,0.231,0.177,Tier-3
hipodrumasofiaairquality,2018-01-08,2026-03-25,2910,0.188,0.494,Tier-3
strdrumultabereidrumultabereiairquality,2015-02-07,2026-03-25,3266,0.001,0.525,Tier-3
stockholmsveavagen59gataairquality,2017-10-03,2026-03-25,3049,0.0,0.672,Tier-3
